32741|[Attempted] Replace powder room sink faucet|f|||2022-03-26 09:41:54.322-04|2022-04-20 14:38:33.203784-04|2022-03-24 00:00:00-04||2022-03-24 00:00:00-04|2022-03-24 00:00:00-04||||||221|145
3360|Start time-blocking|f|||2021-08-21 00:52:04.401-04|2022-01-05 10:44:47.523206-05||||2021-08-21 00:00:00-04||||||100|
23972|"Create work-items / action items / goals & todos to practice advice from '"You Are a Badass'""|f|||2022-01-08 13:04:45.255-05|2022-04-20 14:38:33.119004-04|||2022-01-31 00:00:00-05|2022-01-13 00:00:00-05||||||142|88
3298|Return biapers for mom|f|||2021-08-09 15:17:37.135-04|2022-01-05 10:44:47.540302-05||||2021-08-09 00:00:00-04||||||67|
3319|Get book on birth charts|f|||2021-08-11 13:57:41.578-04|2022-04-20 14:38:33.028103-04|2021-08-12 11:15:35-04|2021-08-12 11:15:35-04||2021-08-11 00:00:00-04||||||87|39
7096|Morning Routine|f|||2021-12-23 13:07:30.511-05|2022-01-05 10:48:01.559604-05|||2021-12-23 00:00:00-05|2021-12-23 00:00:00-05|||||1||
7097|Morning Routine|f|||2021-12-23 13:07:30.527-05|2022-01-05 10:48:01.559604-05|||2021-12-24 00:00:00-05|2021-12-24 00:00:00-05|||||1||
7098|Morning Routine|f|||2021-12-23 13:07:30.537-05|2022-01-05 10:48:01.559604-05|||2021-12-25 00:00:00-05|2021-12-25 00:00:00-05|||||1||
7099|Morning Routine|f|||2021-12-23 13:07:30.544-05|2022-01-05 10:48:01.559604-05|||2021-12-26 00:00:00-05|2021-12-26 00:00:00-05|||||1||
7100|Morning Routine|f|||2021-12-23 13:07:30.55-05|2022-01-05 10:48:01.559604-05|||2021-12-27 00:00:00-05|2021-12-27 00:00:00-05|||||1||
7080|Bath Bentley|f|||2021-12-23 13:07:22.354-05|2022-01-05 10:44:47.538364-05|||2021-12-23 00:00:00-05|2021-12-23 00:00:00-05||||||73|
2097|Spanish lessons|t|||2021-08-09 14:21:02.06-04|2022-01-05 10:44:47.553399-05|||2021-08-09 00:00:00-04|2021-08-09 00:00:00-04||84||||42|
2144|Spanish lessons|t|||2021-08-09 14:31:34.399-04|2022-01-05 10:44:47.553399-05|||2021-08-23 00:00:00-04|2021-08-23 00:00:00-04||91||||42|
28583|Floss|f|||2022-01-08 18:46:03.46-05|2022-01-14 14:02:36.392725-05|||2022-01-10 00:00:00-05|2022-01-10 00:00:00-05||1021||41||150|
28665|Wash face|f|||2022-01-08 18:46:04.268-05|2022-01-13 13:18:17.034772-05|2022-01-13 13:18:17-05|2022-01-13 13:18:17-05|2022-01-12 00:00:00-05|2022-01-12 00:00:00-05||1023||43||148|
28667|Wash face|f|||2022-01-08 18:46:04.282-05|2022-01-15 08:43:59.042086-05|2022-01-15 08:43:59-05|2022-01-15 08:43:59-05|2022-01-14 00:00:00-05|2022-01-14 00:00:00-05||1025||43||148|
28605|Spray hair|f|||2022-01-08 18:46:03.736-05|2022-01-13 13:18:17.870724-05|2022-01-13 13:18:17-05|2022-01-13 13:18:17-05|2022-01-12 00:00:00-05|2022-01-12 00:00:00-05||1023||42||149|
28609|Spray hair|f|||2022-01-08 18:46:03.762-05|2022-01-17 10:32:08.746076-05|2022-01-17 10:32:08-05|2022-01-17 10:32:08-05|2022-01-16 00:00:00-05|2022-01-16 00:00:00-05||1027||42||149|
28607|Spray hair|f|||2022-01-08 18:46:03.749-05|2022-01-15 08:44:00.366589-05|2022-01-15 08:44:00-05|2022-01-15 08:44:00-05|2022-01-14 00:00:00-05|2022-01-14 00:00:00-05||1025||42||149|
28669|Wash face|f|||2022-01-08 18:46:04.295-05|2022-01-17 10:32:09.990128-05|2022-01-17 10:32:09-05|2022-01-17 10:32:09-05|2022-01-16 00:00:00-05|2022-01-16 00:00:00-05||1027||43||148|
28585|Floss|f|||2022-01-08 18:46:03.499-05|2022-01-17 11:33:07.416476-05|2022-01-17 11:33:07-05|2022-01-17 11:33:07-05|2022-01-17 00:00:00-05|2022-01-17 00:00:00-05||1028||41||150|
28673|Wash face|f|||2022-01-08 18:46:04.321-05|2022-01-24 10:44:36.06839-05|2022-01-24 10:44:36-05|2022-01-24 10:44:36-05|2022-01-20 00:00:00-05|2022-01-20 00:00:00-05||1031||43||148|
28611|Spray hair|f|||2022-01-08 18:46:03.775-05|2022-01-08 18:46:22.440244-05|||2022-01-18 00:00:00-05|2022-01-18 00:00:00-05||1029||42||149|
28671|Wash face|f|||2022-01-08 18:46:04.308-05|2022-01-19 09:16:54.405162-05|||2022-01-18 00:00:00-05|2022-01-18 00:00:00-05||1029||43||148|
28679|Wash face|f|||2022-01-08 18:46:04.372-05|2022-01-27 13:14:33.733366-05|2022-01-27 13:14:33-05|2022-01-27 13:14:33-05|2022-01-26 00:00:00-05|2022-01-26 00:00:00-05||1037||43||148|
28613|Spray hair|f|||2022-01-08 18:46:03.789-05|2022-01-24 10:44:37.033229-05|2022-01-24 10:44:37-05|2022-01-24 10:44:37-05|2022-01-20 00:00:00-05|2022-01-20 00:00:00-05||1031||42||149|
28615|Spray hair|f|||2022-01-08 18:46:03.804-05|2022-01-08 18:46:22.469911-05|||2022-01-22 00:00:00-05|2022-01-22 00:00:00-05||1033||42||149|
28675|Wash face|f|||2022-01-08 18:46:04.335-05|2022-01-08 18:46:22.469911-05|||2022-01-22 00:00:00-05|2022-01-22 00:00:00-05||1033||43||148|
28587|Floss|f|||2022-01-08 18:46:03.513-05|2022-01-08 18:46:22.484086-05|||2022-01-24 00:00:00-05|2022-01-24 00:00:00-05||1035||41||150|
28683|Wash face|f|||2022-01-08 18:46:04.401-05|2022-01-31 11:34:54.993341-05|2022-01-31 11:34:54-05|2022-01-31 11:34:54-05|2022-01-30 00:00:00-05|2022-01-30 00:00:00-05||1041||43||148|
28619|Spray hair|f|||2022-01-08 18:46:03.831-05|2022-01-27 13:14:35.043123-05|2022-01-27 13:14:35-05|2022-01-27 13:14:35-05|2022-01-26 00:00:00-05|2022-01-26 00:00:00-05||1037||42||149|
28621|Spray hair|f|||2022-01-08 18:46:03.846-05|2022-01-08 18:46:22.560859-05|||2022-01-28 00:00:00-05|2022-01-28 00:00:00-05||1039||42||149|
28681|Wash face|f|||2022-01-08 18:46:04.387-05|2022-01-08 18:46:22.560859-05|||2022-01-28 00:00:00-05|2022-01-28 00:00:00-05||1039||43||148|
28625|Spray hair|f|||2022-01-08 18:46:03.884-05|2022-02-03 12:22:13.769404-05|2022-02-03 12:22:13-05|2022-02-03 12:22:13-05|2022-02-01 00:00:00-05|2022-02-01 00:00:00-05||1043||42||149|
28623|Spray hair|f|||2022-01-08 18:46:03.865-05|2022-01-31 11:34:57.122778-05|2022-01-31 11:34:57-05|2022-01-31 11:34:57-05|2022-01-30 00:00:00-05|2022-01-30 00:00:00-05||1041||42||149|
28589|Floss|f|||2022-01-08 18:46:03.527-05|2022-01-08 18:46:22.57907-05|||2022-01-31 00:00:00-05|2022-01-31 00:00:00-05||1042||41||150|
3321|[Attempted] Watch course on design composition|f|||2021-08-11 13:58:25.53-04|2021-08-11 23:13:07.033813-04|2021-08-11 00:00:00-04|||2021-08-11 00:00:00-04|||||||
28687|Wash face|f|||2022-01-08 18:46:04.429-05|2022-02-04 08:37:25.526602-05|2022-02-04 08:37:25-05|2022-02-04 08:37:25-05|2022-02-03 00:00:00-05|2022-02-03 00:00:00-05||1045||43||148|
28685|Wash face|f|||2022-01-08 18:46:04.415-05|2022-01-08 18:46:22.584984-05|||2022-02-01 00:00:00-05|2022-02-01 00:00:00-05||1043||43||148|
28689|Wash face|f|||2022-01-08 18:46:04.444-05|2022-02-06 16:26:50.456404-05|2022-02-06 16:26:50-05|2022-02-06 16:26:50-05|2022-02-05 00:00:00-05|2022-02-05 00:00:00-05||1047||43||148|
28629|Spray hair|f|||2022-01-08 18:46:03.911-05|2022-02-06 16:26:51.189598-05|2022-02-06 16:26:51-05|2022-02-06 16:26:51-05|2022-02-05 00:00:00-05|2022-02-05 00:00:00-05||1047||42||149|
28631|Spray hair|f|||2022-01-08 18:46:03.924-05|2022-02-09 11:56:18.899852-05|2022-02-09 11:56:18-05|2022-02-09 11:56:18-05|2022-02-07 00:00:00-05|2022-02-07 00:00:00-05||1049||42||149|
28695|Wash face|f|||2022-01-08 18:46:04.488-05|2022-02-13 10:55:36.8362-05|2022-02-13 10:55:36-05|2022-02-13 10:55:36-05|2022-02-11 00:00:00-05|2022-02-11 00:00:00-05||1053||43||148|
28591|Floss|f|||2022-01-08 18:46:03.54-05|2022-01-08 18:46:22.622234-05|||2022-02-07 00:00:00-05|2022-02-07 00:00:00-05||1049||41||150|
28635|Spray hair|f|||2022-01-08 18:46:03.95-05|2022-02-13 10:55:37.89505-05|2022-02-13 10:55:37-05|2022-02-13 10:55:37-05|2022-02-11 00:00:00-05|2022-02-11 00:00:00-05||1053||42||149|
28633|Spray hair|f|||2022-01-08 18:46:03.937-05|2022-01-08 18:46:22.634231-05|||2022-02-09 00:00:00-05|2022-02-09 00:00:00-05||1051||42||149|
28693|Wash face|f|||2022-01-08 18:46:04.473-05|2022-01-08 18:46:22.634231-05|||2022-02-09 00:00:00-05|2022-02-09 00:00:00-05||1051||43||148|
28699|Wash face|f|||2022-01-08 18:46:04.514-05|2022-02-16 08:36:32.995225-05|2022-02-16 08:36:32-05|2022-02-16 08:36:32-05|2022-02-15 00:00:00-05|2022-02-15 00:00:00-05||1057||43||148|
28639|Spray hair|f|||2022-01-08 18:46:03.976-05|2022-02-16 08:36:34.167889-05|2022-02-16 08:36:34-05|2022-02-16 08:36:34-05|2022-02-15 00:00:00-05|2022-02-15 00:00:00-05||1057||42||149|
28637|Spray hair|f|||2022-01-08 18:46:03.963-05|2022-01-08 18:46:22.65758-05|||2022-02-13 00:00:00-05|2022-02-13 00:00:00-05||1055||42||149|
28697|Wash face|f|||2022-01-08 18:46:04.501-05|2022-01-08 18:46:22.65758-05|||2022-02-13 00:00:00-05|2022-02-13 00:00:00-05||1055||43||148|
28701|Wash face|f|||2022-01-08 18:46:04.527-05|2022-02-18 10:08:30.515129-05|2022-02-18 10:08:30-05|2022-02-18 10:08:30-05|2022-02-17 00:00:00-05|2022-02-17 00:00:00-05||1059||43||148|
